timeStamp,elapsed,label,responseCode,success,bytes,grpThreads,allThreads,Latency,Hostname
2013-12-26;18:12:03,3139,/app/user/login,200,true,2332,3,3,2720,CI
2013-12-26;18:12:06,385,/,200,true,1934,3,3,385,CI
2013-12-26;18:12:06,1068,Deconnexion,200,true,4255,3,3,617,CI
2013-12-26;18:12:06,470,/,200,true,1945,3,3,470,CI
2013-12-26;18:12:03,3611,Connexion,200,true,4277,3,3,3190,CI
2013-12-26;18:12:06,681,/account,200,true,2600,3,3,680,CI
2013-12-26;18:12:06,681,Vue_connectee,200,true,2600,3,3,680,CI
2013-12-26;18:12:07,570,/,200,true,1992,3,3,570,CI
2013-12-26;18:12:07,571,Accueil,200,true,1992,3,3,570,CI
2013-12-26;18:12:07,663,/app/user/logout,200,true,2321,3,3,269,CI
2013-12-26;18:12:07,857,/account,200,true,2559,3,3,857,CI
2013-12-26;18:12:07,858,Vue_connectee,200,true,2559,3,3,857,CI
2013-12-26;18:12:08,415,/,200,true,1934,3,3,415,CI
2013-12-26;18:12:07,1080,Deconnexion,200,true,4255,3,3,684,CI
2013-12-26;18:12:08,689,/app/user/logout,200,true,2321,3,3,263,CI
2013-12-26;18:12:08,429,/,200,true,1992,3,3,429,CI
2013-12-26;18:12:08,430,Accueil,200,true,1992,3,3,429,CI
2013-12-26;18:12:08,430,/,200,true,1934,3,3,430,CI
2013-12-26;18:12:08,1121,Deconnexion,200,true,4255,3,3,693,CI
2013-12-26;18:12:09,487,/,200,true,1992,3,3,487,CI
2013-12-26;18:12:09,487,Accueil,200,true,1992,3,3,487,CI
2013-12-26;18:12:07,2920,/app/user/login,200,true,2374,3,3,2209,CI
2013-12-26;18:12:10,770,/,200,true,1987,3,3,770,CI
2013-12-26;18:12:07,3690,Connexion,200,true,4361,3,3,2979,CI
2013-12-26;18:12:11,700,/account,200,true,2603,3,3,700,CI
2013-12-26;18:12:11,702,Vue_connectee,200,true,2603,3,3,700,CI
2013-12-26;18:12:09,2551,/app/user/login,200,true,2332,3,3,2023,CI
2013-12-26;18:12:08,3506,/app/user/login,200,true,2374,3,3,3063,CI
2013-12-26;18:12:12,546,/app/user/logout,200,true,2321,3,3,184,CI
2013-12-26;18:12:12,453,/,200,true,1945,3,3,453,CI
2013-12-26;18:12:09,3005,Connexion,200,true,4277,3,3,2476,CI
2013-12-26;18:12:12,442,/,200,true,1934,3,3,442,CI
2013-12-26;18:12:12,990,Deconnexion,200,true,4255,3,3,626,CI
2013-12-26;18:12:12,659,/,200,true,1987,3,3,659,CI
2013-12-26;18:12:08,4167,Connexion,200,true,4361,3,3,3722,CI
2013-12-26;18:12:13,291,/,200,true,1992,3,3,291,CI
2013-12-26;18:12:13,293,Accueil,200,true,1992,3,3,291,CI
2013-12-26;18:12:12,667,/account,200,true,2557,3,3,667,CI
2013-12-26;18:12:12,668,Vue_connectee,200,true,2557,3,3,667,CI
2013-12-26;18:12:13,743,/account,200,true,2598,3,3,743,CI
